employee_id,first_name,last_name,email,phone_number,job_id,salary
1,Steven,King,steven.king@sqltutorial.org,515.123.4567,4,24000.00
2,Neena,Kochhar,neena.kochhar@sqltutorial.org,515.123.4568,5,17000.00
3,Lex,DeHaan,lex.dehaan@sqltutorial.org,515.123.4569,5,17000.00
4,Alexander,Hunold,alexander.hunold@sqltutorial.org,590.423.4567,9,9000.00
5,Bruce,Ernst,bruce.ernst@sqltutorial.org,590.423.4568,9,6000.00
6,David,Austin,david.austin@sqltutorial.org,590.423.4569,9,4800.00
7,Valli,Pataballa,valli.pataballa@sqltutorial.org,590.423.4560,9,4800.00
8,Diana,Lorentz,diana.lorentz@sqltutorial.org,590.423.5567,9,4200.00
9,Nancy,Greenberg,nancy.greenberg@sqltutorial.org,515.124.4569,7,12000.00
10,Daniel,Faviet,daniel.faviet@sqltutorial.org,515.124.4169,6,9000.00
11,John,Chen,john.chen@sqltutorial.org,515.124.4269,6,8200.00
12,Ismael,Sciarra,ismael.sciarra@sqltutorial.org,515.124.4369,6,7700.00
13,JoseManuel,Urman,josemanuel.urman@gmail.com,515.124.4469,6,7800.00
14,Luis,Popp,luis.popp@sqltutorial.org,515.124.4567,6,6900.00
15,Den,Raphaely,den.raphaely@gmail.com,515.127.4561,14,11000.00
